tweet_id,replies_count,retweets_count,likes_count,target,label,confidence_score
16225710910,0,0,0,0,non-depressed,0.647
29511881849,0,0,0,0,non-depressed,1
529081906474663936,0,0,0,1,mild,1
653785271176003584,1,0,1,0,non-depressed,1
860078854601416704,1,0,0,0,non-depressed,1
947263708488548480,0,0,1,1,mild,0.663
957015271453143040,2,4,10,2,moderate,0.686
984334129666895872,0,1,1,0,non-depressed,0.69
1013965224976756736,0,0,0,1,mild,0.667
1069119521179365248,0,0,0,0,non-depressed,1
1085943697257254784,2,8,22,0,non-depressed,1
1086157191487336448,0,1,2,0,non-depressed,1
1115548790600097536,0,0,0,0,non-depressed,1
1169472615796416512,1,0,0,0,non-depressed,0.659
1206268738045173504,1,0,1,0,non-depressed,1
1225441504690409472,0,0,0,1,mild,1
1228178432657243904,1,0,1,1,mild,0.663
1230223707651608320,1,0,5,0,non-depressed,0.67
1232769036284547072,0,0,0,2,moderate,0.663
1248287779236315136,1,0,1,1,mild,0.667
1248542062900908032,0,0,0,1,mild,0.659
1254346956391936000,1,0,1,1,mild,0.663
1265510664061231104,2,0,0,1,mild,0.674
1268533414782816256,0,0,0,0,non-depressed,1
1286723101024292864,0,0,0,1,mild,0.67
1298153678432608256,0,4,1,0,non-depressed,0.674
1300533850708340736,1,1,0,0,non-depressed,1
1304484458385604608,1,0,2,0,non-depressed,1
1304558097550257920,0,0,1,0,non-depressed,1
1308782399761850368,0,0,0,1,mild,0.659
1310238153341427712,0,0,1,1,mild,0.682
1313982978675150848,0,0,2,0,non-depressed,0.655
1314321290384211968,0,0,1,0,non-depressed,1
1315258425379631104,0,0,1,0,non-depressed,1
1318713627759812608,1,1,2,1,mild,0.663
1321148359634276352,0,0,0,0,non-depressed,0.667
1323086235301302272,0,0,8,0,non-depressed,1
1325144995041480704,1,0,1,1,mild,0.663
1325433976631095296,0,2,2,0,non-depressed,1
1337494608356380672,1,0,0,0,non-depressed,0.663
1340532587912069120,0,1,0,2,moderate,0.659
1350812611063922688,0,0,0,0,non-depressed,1
1351346235014324224,1,0,2,0,non-depressed,1
1353679050233978880,1,0,0,0,non-depressed,1
1354912958158135296,0,0,0,2,moderate,0.667
1357188249421156352,1,0,2,0,non-depressed,1
1357813250595897088,2,1,7,1,mild,0.674
1357874136165601280,0,0,3,2,moderate,0.663
1361220132899614720,0,0,0,0,non-depressed,1
1361578309927067648,12,0,32,0,non-depressed,0.667
1361675371121360896,2,0,2,3,severe,0.655
1362829708434550784,1,1,11,1,mild,1
1362866104071299072,0,0,0,0,non-depressed,0.659
1364003772888997888,0,0,1,0,non-depressed,0.663
1364959071493893888,1,0,2,1,mild,0.678
1365805352466452480,3,1,17,1,mild,0.651
1367857433176141824,5,6,68,1,mild,0.667
1368067865706778624,0,0,5,2,moderate,0.663
1369121833153421312,0,0,0,3,severe,1
1372359532282839040,1,0,5,1,mild,0.663
1372396184401145856,3,0,15,0,non-depressed,1
1374454356293025536,13,6,55,0,non-depressed,1
1374728849544581120,2,0,7,2,moderate,0.659
1379901510948032512,3,0,9,0,non-depressed,0.69
1380035467530399488,0,0,0,0,non-depressed,1
1380319625456582656,1,0,0,0,non-depressed,1
1380607560294670336,0,0,0,2,moderate,0.667
1381118928668090368,0,0,0,3,severe,0.678
1381405955787735040,0,0,2,0,non-depressed,0.67
1382199704574906368,0,0,9,1,mild,0.67
1384604144388898816,0,0,0,1,mild,0.67
1384796876692549632,0,0,2,1,mild,0.659
1385092167157395456,0,1,1,0,non-depressed,1
1385286626629275648,0,0,0,0,non-depressed,1
1385977170447699968,2,0,1,3,severe,0.667
1386468922711547904,0,0,13,1,mild,0.663
1389316905278660608,2,0,21,2,moderate,0.667
1391791949665947648,0,1,10,0,non-depressed,1
1391823890670755840,0,0,0,0,non-depressed,1
1394939633302085632,0,0,0,0,non-depressed,1
1395064756231237632,2,0,3,0,non-depressed,0.674
1395668125799129088,1,0,2,0,non-depressed,1
1395766682757570304,1,0,2,0,non-depressed,1
1397245931662319616,1,0,0,0,non-depressed,0.67
1397281918329237504,2,0,12,0,non-depressed,1
1397420912555839488,0,0,2,3,severe,0.682
