tweet_id,replies_count,retweets_count,likes_count,annotator_label_1,annotator_label_2,annotator_label_3,trust_1,trust_2,trust_3
1065457615558213632,1,0,0,2,0,1,0.967,0.967,1
1074204735950020608,1,0,0,0,2,3,0.933,1,1
1210974858856714240,1,0,1,2,1,0,1,1,1
1224946293065150464,0,0,0,2,0,1,0.933,1,1
1264400993111998464,1,0,1,2,1,0,0.9,0.967,1
1272092339520049152,1,0,2,2,1,0,0.967,1,1
1305320116113076224,18,0,13,3,2,1,0.967,0.967,0.933
1325146081886306304,1,0,1,0,1,2,0.933,1,0.967
1353216817955799040,0,0,2,0,1,2,0.967,1,0.9
1355197128830808064,0,0,0,1,3,0,0.967,0.933,0.967
1358322003732799488,3,0,1,3,1,2,0.967,1,1
1364934524161978368,0,1,1,1,0,2,0.9,1,0.9
1367903505999101952,0,0,0,2,0,1,0.9,1,1
1379189508147712000,1,2,174,1,2,0,0.967,1,0.967
1382018268219719680,1,0,7,1,2,0,1,0.967,1
1391080677081292800,0,0,0,1,0,2,0.967,0.967,0.967
1402495597924556800,1,0,1,0,1,2,1,0.967,1
1412497006484934656,0,0,0,3,2,1,0.967,0.967,0.967
1413126594273632256,0,0,2,3,2,1,1,1,1
1415785886931996672,1,0,1,0,3,1,0.967,0.967,1
1417334841385832448,0,0,1,0,2,1,1,1,1
1417629410274988032,1,0,3,1,2,0,0.967,1,0.967
1418470069202419712,1,0,1,1,2,3,1,1,0.9
1419347178301136896,2,0,76,2,1,3,0.967,1,1
1420076146553757696,0,0,2,1,0,2,0.967,0.967,1
1421359164115365888,4,0,65,3,1,0,0.933,0.967,1
1422257172839272448,1,0,2,3,2,0,0.967,1,1
1423337349589569536,1,0,0,0,1,2,0.967,0.967,0.9
1423850976612556800,16,3,82,1,0,2,1,1,1
1426018978539974656,0,0,7,2,1,0,0.967,1,0.967
1428559222430633984,0,0,0,0,1,2,1,1,1
1429759979934912512,1,0,2,2,0,1,0.9,0.967,0.967
1430884587119464448,1,1,0,1,2,3,1,1,1
1431988369094025216,1,0,2,3,0,1,0.967,0.967,1
1433144455570276352,0,0,1,0,1,3,0.967,0.967,1
1433435917872734208,0,0,0,2,1,0,0.933,0.967,0.967
1434168005282439168,1,0,3,0,2,1,0.933,0.967,1
1434247516384645120,1,0,1,3,2,0,0.967,0.967,0.967
1435417131953295104,0,0,0,0,2,1,0.967,0.967,1
1435450793906294784,0,0,0,2,0,1,0.933,1,0.967
1437337993770160128,1,0,7,3,0,1,0.967,1,1
1437845137783131904,0,0,0,2,1,0,0.967,0.967,1
1438933197954469888,3,0,7,1,0,2,0.967,1,1
1439599273692196864,32,1,81,2,1,3,0.967,1,0.9
1439680515821477888,1,0,12,1,0,2,0.967,0.967,1
1439803018082283520,0,0,0,0,1,2,0.967,0.967,0.967
1440191519038660608,2,0,3,0,1,2,0.933,0.933,0.933
1440725399739109120,1,0,1,2,0,1,0.967,1,0.967
1440869259928907520,1,0,1,3,2,1,1,0.967,1
1440910618777817088,0,0,1,1,0,2,1,1,1
1441051454396055552,1,0,2,2,1,0,1,1,0.967
1441394997425844224,1,1,0,0,3,2,0.9,1,1
1441756390058463232,0,0,0,2,0,1,0.967,1,0.967
1441776299731734528,0,0,1,2,0,1,0.967,1,1
1441841048712478720,0,0,0,3,2,0,0.967,0.967,1
1442220444032151552,2,0,1,0,2,1,1,0.967,1
1442288761170120704,0,1,3,2,3,0,1,0.967,1
1442363260506882048,0,0,4,2,0,1,0.967,0.967,1
1442385787203452928,1,0,0,2,3,1,0.967,0.967,0.967
1442558911442153472,0,0,0,3,1,0,0.967,0.967,1
1442607811100246016,0,0,1,0,1,2,0.967,1,1
1442710016230789120,0,0,1,2,0,1,0.933,1,0.967
1442823590420811520,0,0,1,2,1,0,0.967,1,1
1443114220237856768,6,1,38,2,1,0,0.9,0.967,0.967
1443245203876364288,2,0,7,0,1,2,1,0.933,1
1443255526238736384,2,1,12,2,0,1,0.967,0.967,1
1443262631981293568,1,0,2,0,3,2,1,1,0.967
1443371655204466688,0,0,1,1,0,2,0.933,0.967,0.967
1443437550509572096,1,0,2,1,0,3,0.933,0.967,0.9
1443457782720651264,0,0,1,1,0,2,1,1,0.9
1443553886090973184,1,0,26,1,0,3,1,0.967,0.9
1443637768647675904,0,0,2,1,0,3,1,0.967,1
1443639570520760320,0,0,0,2,1,3,0.967,1,0.9
1443670927087185920,3,0,3,0,2,1,1,0.967,1
1443742045760335872,0,0,0,2,1,0,1,0.967,0.967
1443997902376881920,2,0,3,1,2,3,0.967,1,0.9
1444027759542476800,4,0,0,0,1,2,1,1,0.967
1444031670181584896,1,0,11,0,2,1,0.933,0.967,1
1444069456762884096,1,0,1,2,1,3,0.933,1,1
1444087583957454848,0,0,3,3,2,1,0.933,0.967,1
1444091951746273280,3,0,1,3,1,2,0.967,1,0.967
1444231619867381504,0,0,0,1,2,0,1,0.967,1
1444242375862153216,0,0,0,0,1,3,0.967,1,0.9
1444250449578757888,0,1,5,2,0,1,0.967,1,1
1444306011947417600,0,0,0,2,1,0,1,0.967,1
1444308432702644224,1,0,3,3,1,2,0.967,0.967,1
1444334767541997568,0,0,4,0,2,1,0.967,1,1
1444350523050799104,0,0,0,3,1,0,0.967,1,0.967
1444355431078449152,0,0,0,3,2,1,0.967,1,1
1444358268797833216,0,0,0,1,2,0,0.933,1,1
1444362420198289408,3,2,9,1,0,2,0.933,0.967,1
1444381520135958528,0,0,0,1,2,3,0.967,0.933,0.9
1444383907571396608,0,0,0,0,3,2,0.967,0.967,1
1444411401930428416,0,0,1,0,2,1,0.933,0.967,1
1444439495496110080,1,0,0,0,3,2,1,0.967,1
1444461408205352704,2,0,1,0,1,2,1,0.967,1
1444556807364567040,1,0,1,3,0,2,0.967,1,0.967
1444596369491116032,1,0,3,3,1,2,0.967,1,0.967
1444704492822441984,0,0,0,3,2,0,0.967,1,0.967
1444725207923580928,0,0,0,1,0,2,1,1,1
1444783023111618304,0,0,2,0,1,2,0.933,0.933,0.967
1444792452490145536,0,0,0,2,1,0,0.967,0.967,1
1444800737406455808,0,0,0,3,1,2,0.9,1,1
1444809500440071936,1,0,1,3,0,1,0.967,0.967,0.967
1444810990508548096,0,1,4,0,1,2,1,1,1
1444811938668580864,2,3,18,1,0,3,0.967,1,0.9
1444831076174675968,1,0,1,1,2,0,1,1,1
1444831294597304320,62,258,2653,0,1,2,1,1,0.9
1444835819194310656,1,0,1,3,2,1,0.967,1,1
1444835831429091328,1,0,0,1,0,2,0.967,1,1
1444841951153512448,0,0,0,1,2,3,1,0.933,0.9
1444842175527890688,0,0,0,1,0,2,0.967,0.933,0.967
1444843640229085184,2,11,97,0,1,3,1,0.967,0.9
1444845767315841024,1,0,2,3,2,0,0.967,0.967,1
1444850833691185152,3,0,5,1,0,2,1,0.967,1
1444851062519869440,0,0,0,0,3,1,0.967,0.967,1
1444862445843992320,0,0,0,3,1,0,0.967,0.967,1
1444866328410484736,1,0,5,0,3,2,0.933,0.967,0.967
1444869082923380736,0,0,2,0,1,3,1,1,0.9
1444872193121398784,0,0,0,0,2,1,0.967,1,1
1444874192571313920,0,2,2,1,0,3,0.967,1,0.967
1444876259838791680,0,0,0,3,0,1,0.967,1,1
1444876787415019520,1,0,0,2,0,3,1,1,0.9
1444882386924097536,1,0,0,0,1,3,0.933,0.967,1
1444885325919121408,0,0,3,3,0,1,0.967,0.933,1
1444889188155809536,2,0,11,2,1,0,0.967,0.967,1
1444894514208985088,0,0,0,2,0,1,0.933,1,1
1444895139613270016,0,0,0,2,1,0,0.967,1,1
1444897829839781888,0,0,4,0,2,1,1,0.967,0.967
1444921687867379712,0,0,0,3,0,2,0.967,0.967,1
1444929120694059008,0,0,0,2,0,1,1,1,1
1444936199907397632,0,0,5,2,0,1,0.967,1,0.967
